Marca temporal,Barrio,Descripción de los daños o asistencia solicitada,categorias
4/4/2017 12:23:58,La Loma,"Rajaduras de paredes a raíz de la lluvia en el terreno este se movió , filtraciones por techo y medianeras a la casa, levantamiento de piso flotante, 20 metros de cielo raso estropeado  para cambio, perdida de muebles x entrada de lodo y agua a la casa por la puerta . ",
4/4/2017 12:30:10,150 viv standart frente gimnasio 4,Se rompio la heladera televisor lavarropa y perdi tpdo el cementp que tenia para hcaer una pieza eran 30 bolsas,
4/4/2017 12:31:41,Cancha Belgrano,Inundación perdida de colchones perdida de muebles  ,
4/4/2017 12:40:02,13 de diciembre,"Hacer muro de contencion,,,le hicieron al vecino y prometieron hacerles a mis papas ,personas q viven hace 53 años en el barrio ,pagando sus impuestos todos al dia ,y nunca llegaron,esto hace mas de 10 años,con las lluvias cayo las chapas q mi padre puso q sostenian la tierra ,arriba hay una calle de asfalto q si sigue lloviendo puede romperce...gracias",
4/4/2017 12:41:28,moure,Necesitaría que venga a verme como estoy se me inundó todo la casa.la humedad es solo de piso de cemento y de chapa todo mojado y tengo mi nena tng miedo q se me enferme soy madre soltera.me quede sin frazada colchón ni nada.Gracias ,
4/4/2017 12:56:19,Sismogragia,Total mi daño fue total el agua se llevó la casa completa mi todo quedamos con lo puesto  ,
4/4/2017 13:00:21,Laprida,Daños en techo y cielo razón todo humedecido por caer,
4/4/2017 13:00:53,Las Flores ,Se me llovió el techo ,
4/4/2017 13:02:06,Rada tilly,Filtraciones por las paredes. Por techo. ,
4/4/2017 13:03:01,La floresta ,Rotura de chapas canaletas y chapa d jarbor.rotura d tirantes. peligro que se desprendan  las chapas .derrumbe de terreno atras d la casa con peligro que se lleve las piezas d atras.perdida d colchones.sabanas. necesitaria caños y chapas d tambor para un muro d contencion o bloques cemento  arena y piedra para un muro difinitibo.pintura para reflaxionar ya que quedo toda humedicida.  Espero una respuesta rapida ,
4/4/2017 13:03:49,San Cayetano,"Me ingreso agua en toda mi casa por el techo y tambien se filtro por el piso la vecina nos robo terreno e hiso el paredon dentro de el nuestro lo cual esto no nos deja pasar a hacer sanjas cada vez q llueve es la misma situacion tengo dos nenas de 6 y 3 a las cuales se le mojaron sus camas y su ropa y estubimos con humedad y sin agua varios dias.
Quiero q alguien me ayude me escuche por favor!!!",
4/4/2017 13:05:13,La floresta,Rotura de chapas canaletas y chapa d jarbor.rotura d tirantes. peligro que se desprendan  las chapas .derrumbe de terreno atras d la casa con peligro que se lleve las piezas d atras.perdida d colchones.sabanas. necesitaria caños y chapas d tambor para un muro d contencion o bloques cemento  arena y piedra para un muro difinitibo.pintura para reflaxionar ya que quedo toda humedicida.  Espero una respuesta rapida ,
4/4/2017 13:06:56,Pueyrredon,"Cargadora y camión para abrir canal para escurrimiento superficial por razón, entre tejo y moran.  Gracias",
4/4/2017 13:07:07,industrial(misma cuadra del pelotero africa),Heladera...lavarropas y freezer,
4/4/2017 13:08:04,Cerro Solo,"Se abrió un sanjon que se vuelve un río. . Entregan provisiones cruzándolo. Se perdieron viviendas. PIDEN URGENTE MÁQUINA para que corra el agua y correr el Sanjon. Hay mujeres embarazadas. Necesitan frazadas, abrigo, agua. ",
4/4/2017 13:10:25,Caleta Córdova ,Pérdida total de la casa. Queda frente al mar. Apenas pudimos salir nos vinimos con mis padres. Ya no tengo casa.,
4/4/2017 13:11:53,Astra km 20 ,"Lavarropas anegado, cinta de caminar anegada. Paredes con humedad, pintura arruinada, mesitas de luz anegadas, ropero anegado, instalaciones viviendo y galpón anegados. Patio anegado ",
4/4/2017 13:15:13,pietrobelli,Caida del techo entrada de agua por todos lados cercos caidos y daños provocados,
4/4/2017 13:16:28,barrio extencion del abasolo ,Sedio la casa  se nesecita un muro de contencion ,
4/4/2017 13:18:39,Standar norte,"Tuvimos un metro de agua adentro de casa, perdidas de muebles total",
4/4/2017 13:19:32,Rene Favaloro,"necesito 6 chapas de 3,20 para cambiar ya que el viento del 16 de Diciembre me voló el techo y rompió las chapas que hoy por eso, se me llovió la casa y necesito leña para secarla.",
4/4/2017 13:24:11,Pueyrredon ,Daño de dos puertas y una ventana. ,
4/4/2017 13:24:12,san cayetano,agua por el techo sin agua potable barro por todos lados cortes de suministros ,
4/4/2017 13:27:53,La Floresta,"Destruccion de paredon completo con casillero de luz y de gas, por caer una pared de la cocina, dos pisos destruidos que se estan hundiendo, baño a punto de caer, dos habitaciones con problemas en las paredes.",
4/4/2017 13:32:11,Saavedra,"Zona de chacras Barrio Saavedra, sin perdidas en viviendas pero con sus calles destruidas, intransitables.  Zanjas abiertas muy profundas en especial en la unión de 2 calles (Calle código 3173 y código 3172)",
4/4/2017 13:32:58,San cayetano,Heladera lavarropa colchón de 2 plaza tres colchones de 1 plaza ropa muebles placar modular ,
4/4/2017 13:36:49,San cayetano ,Necesito colchones ya que la humedad de la casa filtro y se me mojo parte de mis cosas tengo una nenamiga con problemas respiratorios hace poco le sacaron su cánula respiratoria ella tenía hecho traqueotomia y no puede pasar frío necesito garrafa  por favor ,
4/4/2017 13:38:23,San martin,Se me cayo el cilorazo d la pieza y en Los tchos tngo mucha filtracion de agua,
4/4/2017 13:40:05,Barrio 30de octubre sect.1edif:7dep:A,Se me ha mojado todo los muebles en especial lavarropas heladera camas colchones..,
4/4/2017 13:40:06,Moure,Perdi todo necesito frazadas colchones leña no tengo gas y vivo con 4 hijos sola x favor lo q dea en materiales se me cayo todo el techo de durlock tengo fotos ,
4/4/2017 13:40:08,San cayetano,"Con el temporal se echo a perder el machimbre,ya q la casa esta armada del mismo y en estos momentos al estar secando se estan panseando y saliendo,y x ese mismo motivo el agua entra dentro d la casa y me esta dañando el forro q es durlock",
4/4/2017 13:40:25,Máximo Abàsolo ( zona de quintas II),"Daños: colchón de dos plaza y una plazas ropa de cama perdida total sábanas,colcha,frazadas .Mercadería,comestibles en general,leña, chapas,Naylon ",
4/4/2017 13:42:45,Isidro quiroga,"Daños materiale, cocina, lavarropa, heladera, colchones, ropas,,!",
4/4/2017 13:44:56,Jorge Newbery,"Se mojaron los  colchones, maredes de durlok y se callo él cerco.
Necesitaría colchones.",
4/4/2017 13:46:44,Pueyrredon,Perdio todo hasta el auto quedo tapado casi dos metro de agua no quedo nada solo las paredes gracias,
4/4/2017 13:46:45,Quierno costa ,Techos dañados X la lluvia filtración de agua X paredes y techo ,
4/4/2017 13:46:50,150 viv,Se me cayo el techo del bano y la pieza ahi se me rompip el tele el lavarropa unas herramie tas de contuccion y se mojo von barrp casi toda la ropa y afuera estaba hace do una pieza y se mojaron todas la bplsas de cemento y ya no sirvemas ,
4/4/2017 13:47:26,Pueyrredon,"Muebles,puertas,electrodomesticossommieres,ventanas,placares Y AUTO.",
4/4/2017 13:48:57,divina providencia ,Colchones y frasadas y naylon ,
4/4/2017 13:50:54,Pietrobelli,"Filtración de agua por el piso y por el techo.
Paredes y techo de durlok manchadas por el interior de la casa. 
Desmoronamiento del cerro hacia la casa y en el patio. La entrada esta con un precipicio de mas de 10 metros hacia abajo.",
4/4/2017 13:51:26,moure,Pintura interior y exterior y vidrios ,
4/4/2017 13:55:20,Pueyrredon ,"Techo, paredes, cama, heladera, lavarropa",
4/4/2017 13:55:36,Quirno Costa,Entro agua en casa patio debido a que  a esa altura desemboá el agua que viene de diferentes calles y los canales no dan a basto . Soliáitaria que nos den para rellenar y poner el terreno a nivel de la calle ya que esta en un bajo.chapas tirantes o bien paneles para armar algo ya que quedo  todo deteriorado.,
4/4/2017 13:57:44,Las flores,"Techo paredes, heladera y lavarropa , cama ",
4/4/2017 14:00:55,La Floresta,Muro de contención.,
4/4/2017 14:08:28,Bº 30 DE OCTUBRE ,"INGRESO DE AGUA AL DEPARTAMENTO 70 CM 
OCASIONANDO QUE TODO QUEDE BAJO AGUA PERDIDAS DE MUEBLES, ROPA, COLCHONES, SOLICITO LINEA DE CREDITO PORQUE VA A HABER QUE REEMPLAZAR   PISOS PARTIDOS POR AGUA, AZULEJOS, RENOVAR PINTURA, E DE ETC PARA DEJAR EL DEPARTAMENTO HABITABLE YA QUE VIVE UN HOMBRE DE 3º EDAD MI PADRE, CON DIFICULTADES MOTORAS AL CUAL ASISTIMOS .
DAÑOS EN AUTOMOVIL POR INGRESO DE AGUA
",
4/4/2017 14:08:50,Jorge Newbery,Caida de techo de chapa ,
4/4/2017 14:14:27,Abel Amaya,"El agua de cloaca con barro nos llego adentro de casa hasta la cintura, todos nuestros muebles estropeados mesas, sillas, sillones, heladera, lavarropa, bajo mesada(2) biblioteca, mueble del living, camas, placares(4) mesas de luz(6) colchon(2) chifonier(3) sabanas,frazadas, cubrecamas, almohadas(5) muble barcito(2) ropas , zapatos, accesorios escolares todo y nuestro vehiculo quedo bajo el lodo con agua de cloaca, lo tenemos parado en el patio hasta que podamos arreglarlo.. etc etc etc. ",
4/4/2017 14:15:20,Extencion de B. Saavedra,"La calle de entrada se hizo una zanja profunda. Requierw mucho relleno.
La lineas de agua cortadas.
No tenemos agua",
4/4/2017 14:15:29,Km 8,Perdí todo ,
4/4/2017 14:18:01,Punta piedra ,Se arruinó la pieza de las nenas entro agua por el techo y ventana y por las puertas que dan hacia la calle y de atrás en el lavadero se arruinó el cielo razo me entraba agua tengo un cerro en mi patio de atrás y se desmoronó un monto y no puedo hacer mucho porque mi marido es discapacitado tengo tres hijas  soy yo sola luchando estos días de lluvia ni para comer tenía si alguien lee esto se lo agradecería mucho la ayuda ,
4/4/2017 14:19:01,Pueyrredon,Perdida total de elementos materiales como heladera colchones cama ropa sillas muebles chifonier y placards ,
4/4/2017 14:28:45,san cayetano,Filtracion de agua X los techos y daño se De colchones y camas y electrodomesticos,
4/4/2017 14:31:57,Rene favaloro,Tengo puertas de madera q se me mojaron ..tuve q cortarlas y cuando se desinchen me van a quedar abiertas tendria q poner de chapas..los marcos de la ventana estan rotas..yo soy mama soltera y estoy sin trabajo,
4/4/2017 14:34:54,Maximo abasolo zonas de quintas 2 mza 180 lote 5,Se me inundo las piezas y la cocina  los daños colchones frazadas electrodomesticos tele ,
4/4/2017 14:37:44,Pueyrredon,"Techo teja exterior, cieloraso durlock dormitorio placard y pisos flotantes",
4/4/2017 14:38:21,Bº PTE. ORTIZ,"inundación POR LLUVIA, Y POZO CIEGO. PERDIDAS TOTALES",
4/4/2017 14:40:32,Puyrredon,"Anegacion de mi casa por agua y lodo perdida total de electrodomésticos,muebles, vehículo, deterioro de casa paredes pintura vereda etc etc soy una persona con discapacidad motriz ",
4/4/2017 14:41:39,industrial,"calle con barro consolidado, cubre veredas, nuevas lluvias haría que el agua suba mas de nivel",
4/4/2017 14:42:26,30 DE OCTUBRE ,DEPARTAMENTO EN REFACCION PERDIDA DE MATERIALES FILTRACIONES DE AGUA,
4/4/2017 14:45:44,Juan XXIII,"50cms de lodo adentro de la casa, patio y quincho inundados. Calle inaccesible, cloacas desbordadas. Necesitamos retro y camión chupa",
4/4/2017 14:46:41,San martin,Se nos derrumbo gran parte del cerco del vecino de un ancho de 15 metros por 4 metros de alto. Callendose asia nuestra casa y a causa del desplome del cerco se nos vino mucha tierra y agua ke nos perjudico inundacion en el hogar y pedidas de nuestras cosas.,
4/4/2017 14:52:10,Ceferino,Colchones y la tierra q se desmorona de la avenida a mi casa,
4/4/2017 14:52:15,San martin,No es el medio para este pedido pero como vecina del barrio nos gustaria que si el municipio podria terminar de asfaltar nuestra calle principal de la calle claveles. Que es nuestro unico ingreso a nuestros hogares... Y a causa de las ultimas lluvias se rompe mucho la calle dejando unas grandes grietas.. Muchisimas gracias. Que dios los vendiga y que con ayuda de todos comodoro va a salir adelante,
4/4/2017 14:56:36,Centro,"-Entrada de agua por techo
-Rotura de asfalto sobre calle Sarmiento
-Sin luz en pasaje",
4/4/2017 15:03:24,Cordon forestal,Colchones frazadas nailon o chapas de techo,
4/4/2017 15:04:00,Estandar norte ( COMIPA),"El agua entro por la puerta y el techo, ocasionando la caida de cielo razo, y  la humedad en las paredes ",
4/4/2017 15:04:12,Pueyrredon,"Lavarropas roto, luz subterranea inutilizada se debe al agua y se debe realizar instalacion completa dee nuevo, techo a punto de rotura por la lluvia, muebles rotos por el agua, paredes arruinadas por lluvia y posterior humedad.",
4/4/2017 15:05:52,bellavista norte,Inundacion,
4/4/2017 15:07:15,Quirno costa,Inundación del domicilio con perdidas en mitad del techo que da alas cajas eléctricas . muebles camas y perdida de un dormitorio de dos niños menores de edad.,
4/4/2017 15:19:11,Medanos Km 3,Socavon generado en Cerro Hermitte y fondo NO predio Club Santa Lucia. Se necesita retro para realizar byepass del socavon. Riesgo de alud por endicamientos de derrumbes en la pared de la olla colectira del socavon. Afectaria al menos 15 casas del barrio.,
4/4/2017 15:19:15,Coop Ruca Aitue km3,Agrietamiento del terreno al costado de la casa. Acumulacion de greda y barro en los plubiales y en la calle ,
4/4/2017 15:20:54,Abel Amaya,Paredes y techo. ,
4/4/2017 15:23:51,Juan XXIII,Asistencia de prefectura para evacuar domicilio. Perdida de heladeras frezeers bajo mesadas. Muebles madera. Sommier colchón. Piso flotante. Daño al automóvil. Daño en pisos paredes internas externas,
4/4/2017 15:24:03,Moure,"Material para la habitación y el techo, durloc, macilla, tornillos, para reparar 
Material escolar, hojas carpetas lapicera lápices 
Alimentos ",
4/4/2017 15:26:07,standart norte Km 8,techo pared frente de casa y piso muchas filtraciones.. casa de chapa precaria,
4/4/2017 15:26:47,Los tres pino cordon forestal ,Me entro agua por el techo pare se me mojo ropa colchón mi nene es asmastico y tiene problemas de piel  y estamos sin asistencia en los tres pino,
4/4/2017 15:27:06,barrio pueyrredon,Totalmente inundados perdida total,
4/4/2017 15:27:21,centro,"Mobiliario, placares, colchones, tv, vehículo",
4/4/2017 15:29:38,Don bosco,Perdi colchones muebles camas todo x q se tapo la cloaca vivo en vivienda alquilada,
4/4/2017 15:29:52,extensión San Cayetano,"Inundación de barro. Perdidas de muebles, cocina a gas, heladera, puertas de madera, ropa en general",
4/4/2017 15:32:11,Laprida ,Debido a la fuerte tormenta me ingreso una gran cantidad de agua perdido parte de mis bienes como una cama de 2 plasas colchones frazadas y algo de ropa ,
4/4/2017 15:37:23,Laprida,Daño total de Lavarropas producto del ingreso del barro al sector del lavadero.,
4/4/2017 15:37:35,Presidente Ortiz,Los daños ocasionados fueron rotura de paredes,
4/4/2017 15:41:54,Standar norte,El frente se mojo son placas de madera necesitamos durlock o ladrillones para poder revestir ,
4/4/2017 15:45:00,Juan XXIII,"Daños: Perdidas totales de:
4 Bateas
Camara frigorifica
Exhibidora de Gaseosas
Sierra Carnicera
Papeleria Comercial, legal, previsional
Mercaderia por $ 80.000,00 (Carne, pollos, embutidos)
Freezer comercial
Controlador Fiscal
Notebook
Cuchillos de oficio
Gaseosas por $ 7.000,00
",
4/4/2017 15:51:16,176 viviendas standart norte,Problemas electricos. Caida del entre techo. Techo,
4/4/2017 15:56:33,pueyrredon,"Los daños sufridos por el anticiclón fueron: caída de paredón con reja, deslizamiento de puerta principal, pérdida se muebles de cocina, vanitory,  puerta del baño, dos sillones de 1 cuerpo, piso flotante, por supuesto húmedad desde al piso a las altura de 1.30 de altura, zocalos, lavarropas, mesa de comedor con 6 sillas, heladera, mueble alacena.
Camioneta saveiro pick up 2013 y 
Vw fox 2005 que ambos fueron arrastrados por las fuerza del agua que provenía desde roca y Chile hacia nuestra dirección (Francisco Behr y Levalle)",
4/4/2017 16:01:22,Gral. Mosconi,Entró lodo por la puerta del garage (calle bove) mojando soldadoras y Muebles guardados e inundando todo.  El agua se filtró y siguió  su curso por el pasillo saliendo al jardín y luego a calle lovisato. El domicilio aún no recibe suministro de agua corriente.,
4/4/2017 16:01:25,Bella vista sur,Techo dañado ..todo machimbre..quincho y habitacion todo techo,
4/4/2017 16:01:55,Km8 Don Bosco ,Asistencia solicitada (para que venga urgente por favor gracias) ,
4/4/2017 16:04:44,Pueyrredon,Techo machimbre dañado. Pared dañada..filtracion de agua..ambas partes,
4/4/2017 16:07:09,Pietrobelli,Derrumbe de cerco delantero de casa.. la consecuencia es que la casa esta colgada y con riesgo de derrumbarse..goteras en el techo y filtracion de agua...,
4/4/2017 16:11:42,Pietrobelli,Cerco derumbado delantero y trasero.. casa en riesgo de derrumbarse y corre riesgo de otra inundacion..,
4/4/2017 16:13:55, el atarder ,Se lleno la casa de agua por abajo y se hecho a perder todo!,
4/4/2017 16:16:37,Extencion del Maximo Abasolo,En casa ahi varias goteras nesecito 1 colchon y alimentos varios en casa somos 4 dos niños y dos adultos,
4/4/2017 16:22:04,Juan XXIII,"Colchon de 2 plasa, cama, ropa de nene de 3 año ropa de mujer y hombre y calzadoo ",
4/4/2017 16:28:14,Estandart norte,"Ingreso agua a la casa y no me funciona el lavarropa...llame a defensa civil, bomberos pero no pudieron ayudarme por que no tenian camion chupa ni bombas...eso era mi necesidad por que desbordo la calle y se indundo la casa.",
4/4/2017 16:31:29,Juan XXIII,"Dos Casas inundadas a lo 60 cm de altura con agua ,barro y agua de cloacas desde el dia mierceles. Las calles se encuentran totalmente tapadas en tierra  haciendo imposible la salida u entrada al barrio. Tambien haciendo dificil el poder sacar el agua que se encuentra dentro de ambas casas y las maquinas que han pasado empeoran la situacion. Se perdieron muebles, camas, ropa,electrodomesticos, etc ademas cosas que eran de valor para nosotros a causa de esto.",
4/4/2017 16:32:21,pueyrredon,Perdida total.,
4/4/2017 16:33:48,Gesta de Malvinas,"Saturación de paredes con agua, habitaciones inundadas, electrónicos arruinados (computadora, impresora, reproductor de dvd, 5 celulares, etc), paredón electrificado, y daños que se siguen ocasionando con cada nueva lluvia.",
4/4/2017 16:34:41,barrio stella mariz,Si ,
4/4/2017 16:40:52,San cayetano,"Perdidas de electrodomesticos,perdidas de muebles,perdida de indumentaria,perdida de mercaderia,perdida de sanitarios, perdida de camas y coclchones, perdida de automoviles,perdidas de  dinero,perdida de documentacion,perdida de pinturas en la casa y varias cosas mas para verificar por personal idoneo.",
4/4/2017 16:43:58,Extencion del Stella Maris,Tengo mi techo muy precario es de chapa de cartón y durante este temporal entro agua por las habitaciones y la cocina solicitó chapas para poder cambiar el techo soy pensionada y no me alcanza el sueldo para renovar el techo,
4/4/2017 16:52:36,Standar norte,Ingresó barro en mi domicilio y mi vehículo  fue arrasado por el agua ,
4/4/2017 16:55:33,Pueyrredon,"ingreso de agua y barro hasta un nivel de 70 cms, destruccion total de todos los equipos electronicos, electrodomesticos, instalacion electrica, revoques y pintura",
4/4/2017 16:56:41,San martim,Chapa para el techo parte de afuera..y techo para el baño ya que se cayo..y cemento u arena para el piso que se levanto em algunas partes...gracias,
4/4/2017 16:57:15,Pueyrredon,"ingreso de agua y barro an propiedad, afectando mobiliario, mamposteria, y instalaciones sanitaria y electrica",
4/4/2017 16:58:03,Arenales,Derrumbó la casa donde vivia,
4/4/2017 17:01:37,Juan Xlll,"Perdí cama,colchón, cocina,lavarropa, en una palabra perdí todo.",
4/4/2017 17:02:16,B°Saavedra ,"Mi casa esta ubicada contra el cerro. Se desmoronó gran parte del cerro que quedó en toda la parte de atrás. Se inundaron los dormitorios y las habitaciones que estaban ubicadas en el fondo de la casa. El techo esta afectado y la membrana q tenia fue dañada. Entró agua, greda, barro, ramas y todo lo que arrastró el agua del cerro. El agua volteó un caño de luz ubicado en el patio, en la parte de adelante de la casa, por lo que me quede sin energía eléctrica mucho antes que hubieran los cortes en la ciudad. También afectó todas las paredes que dan contra el cerro. Quedó agua bajo la casa por lo que temo se desmorone con el tiempo. En consecuencia: todas las paredes que dan contra el cerro quedaron agrietadas y rajadas,  inclusive el techo , los pisos, el muro de contención del patio trasero.  Quedó agua estancada bajo una parte de la casa y parte del cerro que se desmoronó quedo en mi patio.  Perdí 3 colchones de una plaza con sus camas y dos colchones de 2 plazas , algo de ropa y calzados de mis hijas , frazadas y otras pertenencias.  Solicito se haga un canal evacuador  en el cerro,  el cual beneficiaria a todos los vecinos que vivimos en esa parte del barrio y tenemos el cerro detrás.  Gracias. ",
4/4/2017 17:07:40,Jorge newbery,Cama y colchón d 1 plaza frazadas 1 heladera 1 lavaropa,
4/4/2017 17:08:15,Las flores ,"Derrumbe del Cerro contra la casa , casa totalmente inundada de barro ",
4/4/2017 17:14:49,Juan xxiii,"Totales.. Ingreso aproximadamente 1 mt de agua a la vivienda. Se perdió cama, heladera, cocina sillas, ropa, calefactores, etc. Y sin hablar de los daños estructurales. Han pasado 5 días del echo y no se puede sacar el agua aun. Se solicitó ayuda de maquinas y camión chupa. Los cloacas desbordadas. Las valles con un metro de tierra que no deja salir el agua de las viviendas todo húmedo, el vehículo con agua y barro asta la gaveta. Es difícil describir en este momento todo lo que se perdio . ",
4/4/2017 17:15:21,Isidro Quiroga,sin daños mi domicilio y ayudando a los vecinos que están mas perjudicados,
4/4/2017 17:21:01,Jorge newery,Entro aguabarro la casa se inundo.se llevo el agua todo lo que tenia en su camino.estoy en silla de ruedas.,
4/4/2017 17:29:01,El mirador,Daños de casa rajaduras de paredes movimientos de suelo piezas con agua y barro muebles de maderas destruido y electrodomésticos a revisar,
4/4/2017 17:36:52,San cayetano, Heladera y  lavarropa   quemado ,
4/4/2017 17:43:43,9 de julio,"Colchones mojados, techoen mal estado  placar destruido. Ayuda xq tengo un bebé de 10 meses y vivimos solos no tengo ayuda de asignaciones ni tampoco del padres de mi hijo que se encuentra en bs as ",
4/4/2017 17:57:01,Laprida,"El daño es total ya que ingreso agua y Barro dentro de la vivienda, y corre peligro de derrumbe.",
4/4/2017 17:59:04,stella maris,Tengo casa precaria y necesito  chapa  o modulo porque  me filtra agua por abajo y tengo el techo  roto xfavor espero su respuestas ,
4/4/2017 18:08:33,Cordon forestal,Rotura de calle de los dos lados no se puede transitar son Sam has mas de 4 metros de profundidad,
4/4/2017 18:08:42,Restinga Ali,Perdí absolutamente todo ,
4/4/2017 18:13:21,Abel Amaya,Innundacion de un dormitorio por filtracion de agua a causa de un cerro que esta atras. Necesito que  ayuden con alguna obra en el cerro para que no se desborone mas. Es para todos los vecinos de mi cuadra. Agradezco su atencion. ,
4/4/2017 18:13:36,gobernador fontana,Techo y quincho inundado ,
4/4/2017 18:13:41,Stella maris,Perdida total,
4/4/2017 18:14:37,San cayetano,Perdidas totales,
4/4/2017 18:15:49,Stella maris,Total,
4/4/2017 18:18:40,Restinga Ali,"Perdí todo los muebles, electrodomésticos y camas",
4/4/2017 18:22:38,las floresta,perdida totales,
4/4/2017 18:24:00,las floresta,pérdidas totales,
4/4/2017 18:26:45,Abel amaya,"El dia jueves y viernes se me lleno la casa de agua.estuvimos sacando agua  y se volvia a llenar.se me vino toda el agua de la calle de arriba de mi casa.un asentamiento de ilegales,que tienen pozos ciegos en la calle,perdida de todas mis cosas.urgente una maquina y relleno",
4/4/2017 18:27:33,San cayetano,pérdidas totales,
4/4/2017 18:31:10,STANDART NORTE,CAIDA DE CIELORASO BAÑO Y PASILLO VIVIENDA. FILTRACIONES DE AGUA TECHO,
4/4/2017 18:32:19,Km 17,Perdida te todos artefactos electrodomestico y herramientas electricas ya que soy carpintero metalici,
4/4/2017 18:38:00,Fracción 14,"Hola, perdí todo lo de mi casa...Por favor ayudenmen con materiales muebles, camas o cualquier cosa q este a su disposición y me brinde ayuda tengo 3 nenes...Muchas gracias cuento con fotos de el desastre q paso en mi casa y como afecto el temporal en mi hogar.. Gracias espero su llamado Dios les bendiga",
4/4/2017 18:39:17,Fracción 14,"Hola, perdí todo lo de mi casa...Por favor ayudenmen con materiales muebles, camas o cualquier cosa q este a su disposición y me brinde ayuda tengo 3 nenes...Muchas gracias cuento con fotos de el desastre q paso en mi casa y como afecto el temporal en mi hogar.. Gracias espero su llamado Dios les bendiga",
4/4/2017 18:43:30,pueyrredon,Perdí todo colchones ropas alimentos.. ,
4/4/2017 18:43:48,Quirno Costa,Desmoronamiento de terreno.  ,
4/4/2017 18:44:05,km17,Estaba construyendo mi baño y se callo la pared. Y mucha humedad dentro de la casa quedo y sin baño,
4/4/2017 18:47:39,sector 22,"Se me inundó la casa xq las paredes son de madera y chapa filtraba por todos lados tuve goteras en los dormitorios xq las chapas no son nuevas,necesito ladrillos,cemento arena y ripio para rellenar los pisos,",
4/4/2017 18:56:31,Isidro quiroga,"Los daños son derrumbe en el terreno, peligra caer La casa de 6 metros ,solicito ayuda para el muro de contención, y algún subsidios ya que no tengo trabajo y tengo dos nene, espero respuesta atte braian",
4/4/2017 19:16:10,Juan xxlll,Inundación del interior de la casa por rebalse de cloacas ,
4/4/2017 19:21:03,Jorge newbery,"Daños total de la vivienda, se desmoronó el cerco y acumulación de lodo, desplazamiento de la vivienda",
4/4/2017 19:23:06,Pueyrredon ,Perdidas totales,
4/4/2017 19:31:47,Juan XXIII ,"Destrucción de dos viviendas , inundadas en todos los ambientes,  cocina, comedor, baño,  dos habitaciones cada una,  con peligro de derrumbre,  pérdida de electrodomesticos,  muebles,  fuga de gas en acueducto principal.  Se solicita materiales para reconstruir las viviendas .",
4/4/2017 19:32:37,Barrio Pueyrredón,"Pérdidas TOTALES de 2 viviendas y una agencia de remis en el mismo terreno rotura de paredes, lodo adentro de las casas una de ellas está inhabitable, hay debordes cloacales en las mismas. Hasta hoy martes no ha venido nadie a ayudarnos ni a traernos ni siquiera una botella de agua.Necesitamos de todo, todo sirve.",
4/4/2017 19:35:20,Pueyrredon,"Colchones,heladera,frazadas,bajomesada, lavarropa,placar, sufro de enfermedad de Parkinson ,tengo 87 años y jubilación minima y mi esposa tiene 82 y es hipertensa y diabetica",
4/4/2017 19:37:31,San Martín,Cama Matrimonial e individual y un placard mediano ,
4/4/2017 19:40:29,Los 3 pino,Perdi ropa quede con lo puesto entro mucha agua tengo cancer de mama y estoy separada y mi unico ingreso es mi pension de mama de 7 hijos ,
4/4/2017 19:40:46, La Floresta,"2 televisores, lavarropa, modular, microondas, un juego de sillones, placard, sillas",
4/4/2017 19:54:35,Stella maris,Total,
4/4/2017 19:55:25,Standar Norte,Destrucción total de la vivienda. Inhabitable. ,
4/4/2017 19:56:24,Isidro quiroga,Daños. Totales ,
4/4/2017 19:59:09,Standar Norte,Casa con filtraciones múltiples. Techo a punto de colapsar.,
4/4/2017 20:01:44,Standar Norte,Habitación destruida,
4/4/2017 20:01:53,Laprida ,Terreno con 4 casas en la cual hay pérdidas completas ,
4/4/2017 20:02:52,Gral. Mosconi,"Ingreso de barro y agua por frente Local vivienda, por estar por debajo del nivel de calzada, dado las diversas capas de asfalto que se han desarrollado se ha elevado el nivel de pavimento. Corto circuito en un sector del local por humedad, tengo que elevar la vereda y muro contencion y desvio de  aluvion, hacer conexion aerea para evitar fallas electricas. el barro con arena tapo la cloaca externa la fuerza del agua se llevo la tapa, habria que hacer una con bisagra para evitar esto (SCPL), cuando se desagote sera urgente colocarla porque sera un boca de peligro para los transeuntes. El viento del temporal aflojo chapas del techo y aparecieron muchas goteras, habra que hacer un sobre techo con chapas nuevas y aislantes, en el piso flotante se filtro agua y barro, habra que cambiar el   piso que es de madera flotante y que supere el nivel de calzada.  Estoy ubicado en la zona donde se tapo el desague que viene de la Avda Tehuelches y cruza la ruta y avda. Quintana. a pesar de todo la saque barata, porque los que mas sufrieron el temporal fueron los vecinos que estan mas abajo que perdieron todo. ",
4/4/2017 20:04:24,Standar Norte,Agua filtrada en todas las paredes de la vivienda,
4/4/2017 20:06:38,Standar Norte,Destrucción total de vivienda.,
4/4/2017 20:09:03,Standar Norte,Filtración de agua por techo,
4/4/2017 20:34:24,Ciudadela,"Goteras en el techo en toda la casa, perdida de dos colchones de una plaza, humedad y manchas en las paredes. La asistencia que requerimos es la siguiente: dos colchones de una plaza, pinturas y cielo raso de las habitaciones. ",
4/4/2017 20:35:22,barrio abel amaya ,"Termica destruida cortocircuito dentro de la casa,  goteras multiples en los techos,  humedad en las paredes.  ",
